Key,Site,eyefullmeanht_eyefullmeanL,eyeballmeanht_eyeballmeanL,eyeballmeanht_eyefullmeanht,meanpupildiam_eyeballmeanht,lipsth_lipsl,meanhairlinetobrow_hairtochin,hairtochin_headtochin,eyefullmeanht_hairtochin,noselength_hairtochin,pupildist_hairtochin,pupildist_widthateyes,meanpupildiam,hairoption,braids,frontlength,hairlineshape,border,headdecoration,headband,earrings,necklace,ears,ebsigdepth,pupilmake,nostrilmake,liplineform,lipform,labraleSuperius,dimple_cleft,nick_markblw,doublechin,eyeform
BM118218_C20,Nimrud,0.34999999999999998,0.41999999999999998,0.79000000000000004,0.67000000000000004,0.38,0.81999999999999995,0.73999999999999999,0.14999999999999999,0.41999999999999998,0.52000000000000002,0.54000000000000004,0.14999999999999999,pegwig,no,,curved,yes,,no,,,yes,no,drilled,drilled,barbell,doubleswell,no,no,no,no,doubletop
BM118252_C18,Nimrud,,,,,,,0.78000000000000003,,0.39000000000000001,0.47999999999999998,0.47999999999999998,0.22,pegwig,no,,curved,,,,,,,,drilled,,,,,,,,
BM118219_C16,Nimrud,0.29999999999999999,0.40000000000000002,0.83999999999999997,0.73999999999999999,0.38,,0.67000000000000004,0.14000000000000001,0.39000000000000001,0.54000000000000004,0.53000000000000003,0.155,pegwig,no,belowshoulder,curved,yes,no,no,no,,yes,no,drilled,drilled,barbell,doubleswell,no,no,,no,doubletop
BM7637,Nimrud,,0.65000000000000002,,0.5,0.5,0.185,0.79000000000000004,,0.28999999999999998,,,0.10000000000000001,pegwig,no,,curved,no,headcharm,no,no,,yes,no,,,tucks,doubleswell,no,no,no,no,
BM9433,Nimrud,,,,,,,,,,,,,curls,no,belowshoulder,,,,no,yes,no,yes,,,,,,,,,,
BM10724,Nimrud,0.58999999999999997,,0.77000000000000002,0.62,0.40000000000000002,0.90000000000000002,0.71999999999999997,0.17000000000000001,,0.41999999999999998,0.54000000000000004,0.105,,,,curved,no,headcharm,no,,,,no,drilled,,tucks,doubleswell,,no,no,no,doubletop
BM9619,Nimrud,0.37,,,,,0.54000000000000004,0.89000000000000001,0.14000000000000001,0.42999999999999999,0.38,0.38,0.14999999999999999,pegwig,no,,curved,no,headcharm,no,yes,,yes,,drilled,,,,,,no,no,
BM7781,Nimrud,0.48999999999999999,0.48999999999999999,0.72999999999999998,0.55000000000000004,0.57999999999999996,0.16,,0.16,0.33000000000000002,0.37,0.46000000000000002,0.105,curls,no,,curved,yes,headcharm,no,yes,,yes,yes,,no,plain,doubleswell,no,,no,no,doubletop
BM7874,Nimrud,0.51000000000000001,,,,0.34999999999999998,,,,,,,,,,,,,,,,,,,,no,tucks,V,no,no,no,no,
BM8015,Nimrud,0.63,0.47999999999999998,0.67000000000000004,0.53000000000000003,0.47999999999999998,0.17999999999999999,0.64000000000000001,0.20000000000000001,0.32000000000000001,0.38,0.42999999999999999,0.12,curls,no,,parted,no,singleO,no,no,,no,no,drilled,drilled,tucks,doubleswell,yes,,no,yes,double
BM9736,Nimrud,,,,,,,,,,,,,pegwig,no,,,,crown,no,no,,yes,,,,,,,,no,,inlayhole
BM9103,Nimrud,0.32000000000000001,,,,,0.14999999999999999,,0.13,,,,,,,,u-tabs,yes,,,no,,yes,yes,,,,,,no,no,no,inlayhole
BM9394,Nimrud,,,,,,,,,,,,,curls,no,,,,crown,no,,,yes,,,,,,,,,,
BM8007,Nimrud,0.44,,,,0.63,0.65000000000000002,0.63,0.14499999999999999,0.34000000000000002,0.38,0.41999999999999998,0.16,curls,no,,parted,no,singleO,no,no,,no,no,drilled,no,tucks,doubleswell,no,no,no,yes,single
BM9491,Nimrud,,,,,0.14000000000000001,0.745,0.81000000000000005,,,,,0.17000000000000001,curls,no,,parted,no,no,no,no,smock,yes,no,drilled,drilled,barbell,,,no,no,no,doubletop
BM10495,Nimrud,0.40000000000000002,0.38,0.76000000000000001,0.85999999999999999,,,,,,,,0.16,curls,no,belowshoulder,,,no,no,no,smock,yes,no,drilled,,,,,,,,doubletop
BM9760,Nimrud,0.55000000000000004,0.42999999999999999,0.56000000000000005,0.83999999999999997,,0.97999999999999998,0.79000000000000004,0.19,,,,0.16,curls,no,abshoulder,curved,no,no,no,no,no,no,no,,,,,,no,no,yes,doubletop
BM7995,Nimrud,,,,,1.9399999999999999,,,,,,,,curls,no,shoulder,,,,,,,,,,,tucks,doubleswell,yes,no,no,yes,
BM10447,Nimrud,0.46999999999999997,0.28999999999999998,0.56999999999999995,0.68000000000000005,,0.93000000000000005,0.62,0.22500000000000001,0.41999999999999998,,,0.115,curls,no,,curved,no,,,no,no,no,no,,,plain,,no,,no,,double
BM118251_C17,Nimrud,,,,,0.46999999999999997,,,,,,,0.17000000000000001,pegwig,no, ,,,,,,,,,drilled,,barbell,doubleswell,no,no,no,no,
BM6355,Nimrud,0.46000000000000002,0.56000000000000005,0.78000000000000003,0.64000000000000001,,,,,,,,0.16,pegwig,no,belowshoulder,curved,,no,no,no,nonsmock,yes,no,drilled,drilled,plain,,no,,,,doubletop
BM7774,Nimrud,0.5,0.46000000000000002,0.75,0.82999999999999996,0.39000000000000001,0.93999999999999995,,0.17999999999999999,0.44,,,0.20000000000000001,pegwig,no,,curved,yes,headcharm,no,,,,no,drilled,,tucks,V,no,,,,doubletop
BM7676,Nimrud,0.40999999999999998,,,,0.47999999999999998,,,,,,,0.19,pegwig,no,belowshoulder,curved,yes,,,no,nonsmock,yes,no,drilled,drilled,barbell,doubleswell,,no,no,no,double
